country	continent
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Afghanistan	Asia
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Albania	Europe
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Algeria	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Angola	Africa
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Argentina	Americas
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Australia	Oceania
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Austria	Europe
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bahrain	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Bangladesh	Asia
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Belgium	Europe
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Benin	Africa
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bolivia	Americas
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Bosnia_and_Herzegovina	Europe
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Botswana	Africa
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Brazil	Americas
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Bulgaria	Europe
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burkina_Faso	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Burundi	Africa
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cambodia	Asia
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Cameroon	Africa
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Canada	Americas
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Central_African_Republic	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chad	Africa
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
Chile	Americas
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
China	Asia
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Colombia	Americas
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Comoros	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Dem_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Congo_Rep	Africa
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Costa_Rica	Americas
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Cote_d'Ivoire	Africa
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Croatia	Europe
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Cuba	Americas
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Czech_Republic	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Denmark	Europe
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Djibouti	Africa
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Dominican_Republic	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Ecuador	Americas
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
Egypt	Africa
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
El_Salvador	Americas
